queue_type,cpid,resolver_record_id,reason,severity,recommended_action,source_file
bridge_gap,CPID-HASH-46fb56d62ac7c226,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-47f2d48a624f76fc,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-4a6817fedb1f91b0,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-4d357fd5df3415cf,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-4ec9badeca0d4214,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-4ed7cd39fa92742a,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-514b1be760902fca,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-51548dfd7922ab69,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-5485259f350d5042,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-54c884a1e3473e91,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-55ab48aff49ec8ab,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-57844a1f813a035a,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-5934b942c6448adb,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-5bf88771e9d562b4,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-5d3b47f43e59fe15,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-5e4c15c92587c894,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-5fa48595ef9bba13,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-60af21e348c769e3,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-621d48a6f7a36c2d,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-624858988cb5ea8f,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-636b7154db3fb4c3,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-644c7ad10433e89e,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-6451fb560716c0cb,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-66240ac1d7511057,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-6a11b1b284a9e8d8,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-6a2d0395b12ebd69,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-6adb88b0ff0e4f99,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-6b6c247ebed8fff1,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-6f42a726859afd3c,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-6fdab50c7edd75fe,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-70a89590c6a3901a,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-7114d5bce75f0b18,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-74f9169e5e7be91b,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-7662285327a1b5a8,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-773848ed22132e0f,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-7757bf4827f2bd20,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-77a3b1aa37dfd21b,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-79d90e7108786991,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-7a372d103cc27dae,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-7b628198ab6b9f58,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-7c792b4575d44b12,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-7cfbc16c3d1ad359,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-810bbd5dfb2c50af,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-8246cd5956080372,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-82b0ba8d984834b5,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-8358d968ffcc3ae6,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-85df066589b087bc,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-8b002ec023325fbc,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-8b2c3536aba073cf,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-8c3bedb2c2341f7e,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-8c4803109ee66b4c,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-8c5dc0fa704b4748,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-8d6970f947632c1d,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-8e2e9269a14eb03d,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-91fada3ce6a81f92,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-92a7ad9ca5ea5f65,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-93826c05e2aa2405,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-9454cf20d4fe060a,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-96a35522fd4d1505,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-9721b821980121d0,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-98718dc1413b2537,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-9bc3f201daa1d811,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-9dc7c5a50753a06d,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-9debb5c2eb268a67,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-9dfd14a3145a917c,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-9fb37042e8f52b02,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-a0527e45e669fa81,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-a1d323b231675331,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-a34730d49aaf95fb,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-a5e64e1dfe6236c5,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-a6aae07ad39878f8,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-a7cd1f975683c617,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-a8709031334e1094,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-a88eb8e83538c2bb,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-abb7e00e6c27e9c9,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-abe101dc8ba33348,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-acf6f376baba12aa,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-adc4e4593f26b3c9,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-b3066fa45c179fd9,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-b3c8d4e4c27506fd,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-b6759ecf82477f7a,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-b778ad5f71b3b737,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-b7e9313c12f48f38,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-b860546db8a39a7b,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-b99ea797186fc6f0,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-bb56070a9dc890ae,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-bcfd9b5921fbdd51,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-bdbe51a00b422a3a,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-c0dac941717710c0,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-c1d44c5e3aa75bad,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-c2163c7536614db4,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-c2bc526034a81f42,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-c54d8a0ebbac0544,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-c93b95e98ec66c51,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-cc0064fd2c5720d7,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-cd90fab19688d839,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-cdc9c7e3df802d00,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-ceb6c96b24c735ba,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-d2efbf4530a7cb7d,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-d30a596249aecc26,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-d60192fd1a7760f9,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-dba8a1e30ec4979f,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-dce5776e878144de,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-dd60ce5cc7c068e3,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-dd8d990d30e197cf,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-de545ddef1d929b7,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-de8fd20e0b1d94e2,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-e00227f325056dff,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-e38654c461210b98,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-e5c9271a1fb7319d,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-e7089a8da7d120a5,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-e8aba0558b2f4599,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-ea22c03b29a5eaad,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-ea48c5f572b5a64c,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-eca297306106dd95,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-ecb1e7e81655e6e2,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-ee3ef2272c177196,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-ee7fb84423437669,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-ef2696a30c26e9e5,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-f0325346d16a459a,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-f1201194e250f4fe,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-f19c8a6af1f93826,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-f286f081a76e835b,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-f2e60ba576cf5618,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-f37c2da2f2437934,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-f5c2413e0ac69652,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-f6b4ccfb785b40ca,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-f8faad1b2d3020f7,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",Listings (1).xlsx
bridge_gap,CPID-HASH-fcb32abe34e89e47,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-LAND-77800826,,hard_property_identifier,medium,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-bfd5ccee21de3dfd,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-f92524273411b63a,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-9e9b9a715f243644,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-af7125d02a105abb,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-2c0cfb5fe28ab0cf,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-bbd4a93706f97785,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-373f20b015bbbb49,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-b6e3bf7cf05241bd,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-a57085f809753a51,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-c6a30c82345e1cc1,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-983ecbe5c9f0fa95,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-57142b841067ffb5,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-c9f2ee8d1a80af4b,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-9b9aeb73b8e4e17d,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-709ceed72f403123,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-9af83b47a02123f2,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-cae9782f04bbbbff,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-f5149f3920bc6118,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-0e2d3b39df82bafa,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-03ce5f03f039f43e,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-8e6400d5b7b1c909,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-9f0bffb889c70657,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-e4592c9219e7c1a2,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-87f0263a51ebcec6,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-344bfc455e689d36,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-5482e2e75e890c13,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-adb0284ce7a8d3a6,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-4bca7279fff13a0d,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-6f8b584098f8e6a0,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-75c1a5b7feea250d,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-ac72712b3ec99cb3,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-648c0674adb2fc5f,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-5d19e565642cfc71,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-3ad39892d302b00f,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-14f44e6e4d7943ad,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-edca841c7d6f936b,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-c9a11918390f033b,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-08ad5a18d2c39b38,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-8dc7c0e608e87455,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-2433e8a4c123aef8,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-0badf643277c6471,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-60fa73599c4aa744,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-38ce04e294f4737b,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-ad5d4dd80f597bc0,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-6af9b193b727fe84,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
bridge_gap,CPID-HASH-2f7a33fd159f1611,,hard_property_identifier,high,"obtain listing reference, broker reference, or hard property identifier",BAYUT OVER ALL LEAD.xlsx
