source,url,parsed_listing_id,parsed_area,parsed_project,parsed_building,direct_listing_rows,permit_values,property_values,plot_values,land_values,permit_unit_hits,property_unit_hits,plot_unit_hits,land_unit_hits,same_area_building_unit_hits,same_area_project_unit_hits,same_chat_group_unit_hits,classification,best_bridge_type,evidence_note
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-imperial-avenue-2Q3JgFxYUiW.html,2Q3JgFxYUiW,Downtown,,imperial avenue,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-nad-al-sheba-nad-al-sheba-gardens-nad-al-sheba-gardens-1-78193184.html,78193184,,,nad al sheba gardens,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-14924691.html,14924691,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/l/6p18cX11,6p18cX11,,,l,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-14716488.html,14716488,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-14331812.html,14331812,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-14801221.html,14801221,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-14783257.html,14783257,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-14887800.html,14887800,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-14809425.html,14809425,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/l/UUeLYc39,UUeLYc39,,,l,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-14709637.html,14709637,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-13282106.html,13282106,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-13675253.html,13675253,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/l/R4R0O8we,R4R0O8we,,,l,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/en/property/details-13818665.html,13818665,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
bayut,https://www.bayut.com/property/details-12841097.html,12841097,,,details,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
dubizzle,https://dubizzle.com/s/DaBIzLO,,,,s dabizlo,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
dubizzle,https://dubizzle.com/s/DfBloJS,,,,s dfblojs,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
dubizzle,https://dubizzle.com/s/DaBIpR6,DaBIpR6,,,s,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
dubizzle,https://dubizzle.com/s/DfBoFgB,,,,s dfbofgb,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
dubizzle,https://dubizzle.com/s/DaxkZg,,,,s daxkzg,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
dubizzle,https://dubizzle.com/s/DaBFuky,,,,s dabfuky,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
dubizzle,https://dubizzle.com/s/DaBGtHT,,,,s dabgtht,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
dubizzle,https://dubizzle.com/s/DfBoSK8,DfBoSK8,,,s,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
dubizzle,https://dubizzle.com/s/DiBL6eP,DiBL6eP,,,s,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-nad-al-sheba-nad-al-sheba-gardens-nad-al-sheba-gardens-1-78973443.html,78973443,,,nad al sheba gardens,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
