cluster_id,classification,canonical_area,canonical_building_project,possible_unit_number,bedrooms,size_range_sqm,price_range,source_platforms,source_files,record_count,confidence,owner_contact_available,restricted_owner_contact_link
cluster_00268,SAME_UNIT_EXACT,Ras Al Khaimah,t 5646 khaled mubarak abdulla mubarak al kendi apartment 5311 sky,5311,,,,,90fdd2ce-31db-44ad-b95e-33587473d061.xlsx,1,95,YES,9490ca53d6e4be1f
cluster_00269,SAME_UNIT_EXACT,Ras Al Khaimah,t 5686 rakesh kumar agarwal apartment 6514 sky,6514,,,,,90fdd2ce-31db-44ad-b95e-33587473d061.xlsx,1,95,YES,a8599f14020d26ab
cluster_00270,SAME_UNIT_EXACT,Abu Dhabi,office 2206 sky,2206,,,,,90fdd2ce-31db-44ad-b95e-33587473d061.xlsx,1,95,YES,3330074b8f9a1a8d
cluster_00271,SAME_UNIT_EXACT,Abu Dhabi,t 5790 national property company office 211 sky,211,,,,,90fdd2ce-31db-44ad-b95e-33587473d061.xlsx,1,95,NO,
cluster_00272,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1406 tala,MS21406,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,d096ace43be1c6fe
cluster_00273,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4005 tala,MS24005,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,7f7f9bb601bfa3ac
cluster_00274,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1703 tala,MS21703,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,922062f311aa942a
cluster_00275,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4303 tala,MS24303,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,57bf7e9c5091a2a8
cluster_00276,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1302 tala,MS21302,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,941c93e74c0e1506
cluster_00277,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2902 tala,MS22902,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,f0a0f79dd878a109
cluster_00278,SAME_UNIT_EXACT,Abu Dhabi,4205 ms 2 4205 tala,MS24205,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,398201a1ba96f797
cluster_00279,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1809 tala,MS21809,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,0504414613f0b147
cluster_00280,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2308 tala,MS22308,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,40532f782c261b2c
cluster_00281,SAME_UNIT_EXACT,Abu Dhabi,3301 ms 2 4303 tala,MS24303,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,98ec6b2cac555d06
cluster_00282,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2406 tala,MS22406,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,532255ab0605efff
cluster_00283,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3807 tala,MS23807,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,da6321d6b066fb1c
cluster_00284,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2301 tala,MS22301,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,b050d366b2ab4da7
cluster_00285,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4502 tala,MS24502,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,68378d0f284cc123
cluster_00286,SAME_UNIT_EXACT,Abu Dhabi,1907 ms 2 1907 tala,MS21907,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,a62af22473d92315
cluster_00287,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3908 tala,MS23908,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,6dc5d189e8217673
cluster_00288,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2205 tala,MS22205,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,97947a8b62a3db79
cluster_00289,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3206 tala,MS23206,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,3b4a5c8868fd09d8
cluster_00290,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2508 tala,MS22508,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,cda5f538dbb3ee17
cluster_00291,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2307 tala,MS22307,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,1c02cf02a2efe673
cluster_00292,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3808 tala,MS23808,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,2dfd64ed1f1dd6c7
cluster_00293,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1704 tala,MS21704,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,b135139608d98a66
cluster_00294,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3609 tala,MS23609,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,6882e197863846e1
cluster_00295,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3805 tala,MS23805,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,c117b5fdef367852
cluster_00296,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4107 tala,MS24107,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,40febb46457cac21
cluster_00297,SAME_UNIT_EXACT,Abu Dhabi,4007 ms 2 4007 tala,MS24007,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,cd013aabd5987d84
cluster_00298,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1707 tala,MS21707,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,16af8c1581ab2a68
cluster_00299,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1502 tala,MS21502,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,5df9518caba6a9ca
cluster_00300,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2209 tala,MS22209,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,0770817056027525
cluster_00301,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1305 tala,MS21305,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,8bc2e7d7bc415a06
cluster_00302,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4602 tala,MS24602,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,5975b9b31da57f26
cluster_00303,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1207 tala,MS21207,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,e513e43d4d26c012
cluster_00304,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3302 tala,MS23302,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,6e584eb910365560
cluster_00305,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2203 tala,MS22203,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,1b875b77caf8293d
cluster_00306,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3809 tala,MS23809,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,2,95,YES,04de25004c4ca8bb|ca1e9ef4d887b7cb
cluster_00307,SAME_UNIT_EXACT,Abu Dhabi,51605 ms 2 1601 tala,MS21601,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,a850b65919b2acc7
cluster_00308,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3707 tala,MS23707,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,bf17e089138998de
cluster_00309,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3801 tala,MS23801,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,9ec2379ba79f4297
cluster_00310,SAME_UNIT_EXACT,Abu Dhabi,1403 ms 2 1403 tala,MS21403,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,9b13734889f89ed1
cluster_00311,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1603 tala,MS21603,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,56954faa25aceb8e
cluster_00312,SAME_UNIT_EXACT,Abu Dhabi,4402 ms 2 4402 tala,MS24402,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,af52305fec22452c
cluster_00313,SAME_UNIT_EXACT,Abu Dhabi,1407 ms 2 1407 tala,MS21407,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,207adfdb8ba9437f
cluster_00314,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4106 tala,MS24106,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,619a24a99750a6d8
cluster_00315,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2809 tala,MS22809,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,2f4abe5bf5161fb5
cluster_00316,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1405 tala,MS21405,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,70faf3e2d61c94a0
cluster_00317,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2108 tala,MS22108,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,a289c9341f75f5e4
cluster_00318,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4306 tala,MS24306,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,00d67b4cf8e3bfe9
cluster_00319,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3604 tala,MS23604,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,fdd792c3cf43a022
cluster_00320,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4807 tala,MS24807,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,8e4304481b30a909
cluster_00321,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2803 tala,MS22803,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,46dff0ddac2a05b2
cluster_00322,SAME_UNIT_EXACT,Ras Al Khaimah,8746 mehboob mubarak lalani ms 2 3904 tala,MS23904,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,3a70a4d9c1bd6ddf
cluster_00323,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3208 tala,MS23208,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,9a4457386ecf84b2
cluster_00324,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4407 tala,MS24407,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,4568791658ddcef7
cluster_00325,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1509 tala,MS21509,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,3fb577ab0fc392ee
cluster_00326,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1602 tala,MS21602,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,7066b6117df42cb4
cluster_00327,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4809 tala,MS24809,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,b40f8801869aa9a8
cluster_00328,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2805 tala,MS22805,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,f494418e5500f386
cluster_00329,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4501 tala,MS24501,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,a530e905411285ac
cluster_00330,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2206 tala,MS22206,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,5d01771f76af8a62
cluster_00331,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4109 tala,MS24109,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,1a42cb98cb3dadd4
cluster_00332,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1702 tala,MS21702,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,c5d6aa200c13e5ea
cluster_00333,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1206 tala,MS21206,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,8d56c6aca7c07d74
cluster_00334,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2009 tala,MS22009,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,731538c18390f9c0
cluster_00335,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3009 tala,MS23009,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,27a39bfdc4747951
cluster_00336,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2402 tala,MS22402,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,ceb9aff986b7e75c
cluster_00337,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2201 tala,MS22201,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,f5151ce4bf3e9753
cluster_00338,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2704 tala,MS22704,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,30012c94d62e6195
cluster_00339,SAME_UNIT_EXACT,Abu Dhabi,3007 ms 2 3007 tala,MS23007,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,445886655d7048e1
cluster_00340,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4008 tala,MS24008,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,f66477878cdf5816
cluster_00341,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2608 tala,MS22608,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,0bbc8c2e19aa1055
cluster_00342,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3702 tala,MS23702,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,dae0261190176041
cluster_00343,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2202 tala,MS22202,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,65b913be7b7b8ea6
cluster_00344,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3406 tala,MS23406,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,432a587378ab95ca
cluster_00345,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4004 tala,MS24004,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,c10c558bf4d6c3e9
cluster_00346,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1204 tala,MS21204,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,813bec84f5e972de
cluster_00347,SAME_UNIT_EXACT,Ras Al Khaimah,8793 ahmed mahmoud gaber barakat ms 2 3803 tala,MS23803,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,dab483eadb8e850c
cluster_00348,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3509 tala,MS23509,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,1d95417ae8e16891
cluster_00349,SAME_UNIT_EXACT,Abu Dhabi,4501 ms 2 4501 tala,MS24501,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,4b5b9ba099266fcc
cluster_00350,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2709 tala,MS22709,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,8ea29bdcc4f395e5
cluster_00351,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3104 tala,MS23104,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,82c746e0fd7cddba
cluster_00352,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2804 tala,MS22804,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,e40ffa0453f4c889
cluster_00353,SAME_UNIT_EXACT,Abu Dhabi,3004 ms 2 3004 tala,MS23004,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,2da3f626016a6552
cluster_00354,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4009 tala,MS24009,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,d2727941f0f8298c
cluster_00355,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3003 tala,MS23003,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,76647ae9f2eb3ff0
cluster_00356,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2901 tala,MS22901,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,2,95,YES,666ebd82efa1fc50|f7713a5e65f1f5f9
cluster_00357,SAME_UNIT_EXACT,Abu Dhabi,1208 ms 2 2803 tala,MS22803,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,2f22171234a0e614
cluster_00358,SAME_UNIT_EXACT,Abu Dhabi,2606 ms 2 2606 tala,MS22606,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,4518d240f62813f3
cluster_00359,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3706 tala,MS23706,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,f8177ddd18bcc740
cluster_00360,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4505 tala,MS24505,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,eedd18aabcaab55a
cluster_00361,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3409 tala,MS23409,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,4ab4bf52ca3923ae
cluster_00362,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3105 tala,MS23105,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,546a84261bc9354e
cluster_00363,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2601 tala,MS22601,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,8259b5567f530f25
cluster_00364,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4709 tala,MS24709,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,594990ee70ceb530
cluster_00365,SAME_UNIT_EXACT,Abu Dhabi,1302 ms 2 1302 tala,MS21302,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,051af0bcfb4a2c24
cluster_00366,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1301 tala,MS21301,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,1a3a5a3c087e8214
cluster_00367,SAME_UNIT_EXACT,Abu Dhabi,4705 ms 2 4705 tala,MS24705,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,3d9ea45b0a7880ef
cluster_00368,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4203 tala,MS24203,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,8507d978e6423a6b
cluster_00369,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1909 tala,MS21909,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,b4850da65ae24db7
cluster_00370,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2003 tala,MS22003,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,1d555226f94946fb
cluster_00371,SAME_UNIT_EXACT,Abu Dhabi,1606 ms 2 1606 tala,MS21606,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,a9b676189bf2b0df
cluster_00372,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1309 tala,MS21309,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,dbf97976bb3d8d5b
cluster_00373,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2808 tala,MS22808,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,61495600700d140f
cluster_00374,SAME_UNIT_EXACT,Abu Dhabi,2801 ms 2 2801 tala,MS22801,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,929978469bc68546
cluster_00375,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3602 tala,MS23602,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,140295c76d831085
cluster_00376,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4701 tala,MS24701,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,0e981ab572667cc8
cluster_00377,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4605 tala,MS24605,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,754c368c4af0a72d
cluster_00378,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2002 tala,MS22002,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,8dcbcd2751ecce97
cluster_00379,SAME_UNIT_EXACT,Abu Dhabi,3309 ms 2 3309 tala,MS23309,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,e39b6bed008db3f5
cluster_00380,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3806 tala,MS23806,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,2988597c955c5054
cluster_00381,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4806 tala,MS24806,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,23b25306ab5e8e17
cluster_00382,SAME_UNIT_EXACT,Abu Dhabi,3708 ms 2 3708 tala,MS23708,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,9ce194845d01fb79
cluster_00383,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4102 tala,MS24102,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,6db99d1a3e19135a
cluster_00384,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3704 tala,MS23704,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,0ee8346fb25383e9
cluster_00385,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1808 tala,MS21808,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,6e471661e9ba8fad
cluster_00386,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1205 tala,MS21205,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,94d2faa840ee2edd
cluster_00387,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4808 tala,MS24808,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,82ae92f353353f11
cluster_00388,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4702 tala,MS24702,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,28810b8a3a4108cb
cluster_00389,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2305 tala,MS22305,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,25d3e2b4fa668dca
cluster_00390,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3608 tala,MS23608,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,f0e92cb3c3b5a969
cluster_00391,SAME_UNIT_EXACT,Abu Dhabi,ms 2 1706 tala,MS21706,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,be12a285d491fd58
cluster_00392,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2607 tala,MS22607,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,030908d90462b968
cluster_00393,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3001 tala,MS23001,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,2d05373e1061cf05
cluster_00394,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4707 tala,MS24707,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,05187ab3fcc55a4c
cluster_00395,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4608 tala,MS24608,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,4870a38b20c91dfc
cluster_00396,SAME_UNIT_EXACT,Abu Dhabi,ms 2 3402 tala,MS23402,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,bf71784df41897bb
cluster_00397,SAME_UNIT_EXACT,Abu Dhabi,ms 2 4209 tala,MS24209,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,2,95,YES,363698b54558767c|a848e3e9361e268b
cluster_00398,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2507 tala,MS22507,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,aa7436945de654cb
cluster_00399,SAME_UNIT_EXACT,Abu Dhabi,1307 ms 2 1307 tala,MS21307,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,11a27a80b5a2d355
cluster_00400,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2204 tala,MS22204,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,9ede8e9faf4473c7
cluster_00401,SAME_UNIT_EXACT,Abu Dhabi,2109 ms 2 2109 tala,MS22109,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,a433b3bfe6042fd8
cluster_00402,SAME_UNIT_EXACT,Abu Dhabi,ms 2 2105 tala,MS22105,,,,,9987ccf5-828d-4113-8e39-a8f85b2c4adc.xlsx,1,95,YES,34946726517c8402
