mode,rank,resolver_record_id,confidence,score,area,project,building,unit,bedrooms,size,price,permit_number,property_number,plot_number,land_number,source_file,source_sheet,row_number,listing_url,score_breakdown,owner_contact_available
url_only,1,raw-e6d971645320b9b2,LIKELY_MATCH,80,Dubai Marina,,ocean heights,,2,148.64 sqm,3000000.0,,,,,raw_chat_style_dataset,,466,,"[""same_area:+10"", ""same_building:+20"", ""same_area_and_building_strong:+35"", ""same_property_type:+5"", ""text_overlap_50:+10""]",NO
live_enriched,1,raw-e6d971645320b9b2,RESOLVED,98,Dubai Marina,,ocean heights,,2,148.64 sqm,3000000.0,,,,,raw_chat_style_dataset,,466,,"[""same_area:+10"", ""same_building:+20"", ""same_area_and_building_strong:+35"", ""same_property_type:+5"", ""same_bedrooms:+10"", ""size_within_5%:+15"", ""text_low:+3""]",NO
