test_label,rank,resolver_record_id,area,project,building,unit,bedrooms,size,price,permit_number,property_number,plot_number,land_number,source_file,source_sheet,row_number,source_platform,listing_url,score,score_breakdown,confidence,status_label,owner_contact_available,input,parsed_platform,parsed_listing_id,parsed_area,parsed_project,parsed_building,parsed_bedrooms,parsed_size,parsed_price
url_8,1,7f9f69f79ea5c7e8,,,barsha 1 atria,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-dubai-al-barsha-al-barsha-1-atria-square-16137246.html#,100,"[""listing_id_exact:+40"", ""listing_url_match:+40"", ""building_fuzzy:+10"", ""same_property_type:+5"", ""text_medium:+6"", ""same_platform:+3""]",RESOLVED,RESOLVED,NO,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-dubai-al-barsha-al-barsha-1-atria-square-16137246.html#,propertyfinder.ae,16137246,,,barsha atria,,,
url_9,1,7f9f69f79ea5c7e8,Business Bay,Tiger,tiger sky tower tiger sky,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-business-bay-tiger-sky-tower-15901205.html,100,"[""listing_id_exact:+40"", ""listing_url_match:+40"", ""same_area:+10"", ""same_project:+20"", ""building_token_overlap:+12"", ""same_property_type:+5"", ""text_high:+10"", ""same_platform:+3""]",RESOLVED,RESOLVED,NO,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-business-bay-tiger-sky-tower-15901205.html,propertyfinder.ae,15901205,Business Bay,Tiger,tiger sky,,,
url_10,1,7f9f69f79ea5c7e8,,,com,,,,,,/details 14924691,,scaped,WhatsApp ChatStorage.sqlite,,,bayut.com,https://www.bayut.com/property/details-14924691.html,93,"[""listing_id_exact:+40"", ""listing_url_match:+40"", ""text_overlap_50:+10"", ""same_platform:+3""]",RESOLVED,RESOLVED,NO,https://www.bayut.com/property/details-14924691.html,bayut.com,14924691,,,details,,,
text_only_1,1,d9b6a00edf880068,Palm Jumeirah,,,,,,,27459,6757/,6757,,Palm_Jumeirah_Nakheel_Submission_Package_RevB_final.pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,2,d93deae982f7793c,Palm Jumeirah,,,,,,,27459,6757/,6757/,,Contract F - Plot 18- Palm Crown - New  (1).pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,3,bfa7b5be0ca77b09,Palm Jumeirah,,,,,,,27459,,,,Contract F - Plot 18- Palm Crown - New  (1).pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,4,b1badf3f5a7ce994,Palm Jumeirah,,,,,,,27459,6757/,6757,,Palm_Jumeirah_Nakheel_Submission_Package_RevB_fixed.pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,5,8e7ab00c4974d1bb,Palm Jumeirah,,,,,,,27459,6757/,6757/,,Contract F - Plot 18- Palm Crown - New  (1).pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,6,7f9f69f79ea5c7e8,Palm Jumeirah,,xxii carat xxii carat,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-palm-jumeirah-xxii-carat-74235006.html,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,7,7f9f69f79ea5c7e8,Palm Jumeirah,,jebel ali frond l,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-palm-jebel-ali-palm-jebel-ali-frond-l-15411275.html,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
